carritoid,productoid,cantidad
CAR-AB001,PROD002,1
CAR-AB001,PROD004,1
CAR-AB001,PROD007,2
CAR-AB002,PROD003,1
CAR-AB002,PROD004,2
CAR-AB003,PROD002,1
CAR-AB003,PROD003,2
CAR-AB004,PROD001,1
CAR-AB004,PROD003,1
CAR-AB004,PROD004,1
CAR-AB005,PROD002,1
CAR-AB005,PROD005,1
CAR-AB005,PROD007,1
CAR-AB006,PROD004,2
CAR-AB006,PROD006,1
CAR-AB007,PROD003,1
CAR-AB008,PROD002,2
CAR-AB008,PROD005,1
CAR-AB009,PROD002,2
CAR-AB009,PROD003,2
CAR-AB009,PROD004,1
CAR-AB010,PROD002,1
CAR-AB011,PROD001,1
CAR-AB012,PROD002,2
CAR-AB012,PROD007,1
CAR-AB013,PROD002,2
CAR-AB013,PROD003,2
CAR-AB013,PROD004,1
CAR-AB014,PROD001,1
CAR-AB014,PROD003,2
CAR-AB014,PROD005,1
CAR-AB015,PROD003,2
CAR-AB015,PROD004,2
CAR-AB016,PROD001,1
CAR-AB016,PROD005,1
CAR-AB017,PROD004,2
CAR-AB017,PROD006,1
CAR-AB017,PROD007,1
CAR-AB018,PROD007,2
CAR-AB019,PROD002,2
CAR-AB019,PROD006,2
CAR-AB019,PROD007,2
CAR-AB020,PROD003,2
CAR-AB020,PROD004,1
CAR-USR030-1778343608532,PROD006,1
