carritoid,usuario_id,fecha,items,total
CAR-AB001,USR037,2026-04-10,0,0
CAR-AB002,USR036,2026-01-23,0,0
CAR-AB003,USR024,2026-01-02,0,0
CAR-AB004,USR050,2026-02-20,0,0
CAR-AB005,USR023,2026-04-24,0,0
CAR-AB006,USR026,2026-02-13,0,0
CAR-AB007,USR027,2026-01-23,0,0
CAR-AB008,USR020,2026-04-08,0,0
CAR-AB009,USR017,2026-01-15,0,0
CAR-AB010,USR028,2026-05-02,0,0
CAR-AB011,USR060,2026-04-15,0,0
CAR-AB012,USR045,2026-02-06,0,0
CAR-AB013,USR046,2026-02-23,0,0
CAR-AB014,USR053,2026-02-17,0,0
CAR-AB015,USR043,2026-02-25,0,0
CAR-AB016,USR059,2026-04-17,0,0
CAR-AB017,USR038,2026-04-06,0,0
CAR-AB018,USR025,2026-03-21,0,0
CAR-AB019,USR035,2026-02-25,0,0
CAR-AB020,USR058,2026-01-21,0,0
CAR-USR030-1778343608532,USR030,2026-05-09,0,0
