numeroorden,usuario_id,listaproductos,productos_ids,cantidad_items,fecha,totalcompra,mes
O177833744,USR200,"PROD003:1,PROD002:1,PROD004:8","PROD003,PROD002,PROD004",10,2026-05-09,267512,5
O177834173,USR200,PROD006:1,PROD006,1,2026-05-09,42840,5
O177834206,USR200,PROD006:1,PROD006,1,2026-05-09,42840,5
O177834220,USR200,"PROD005:1,PROD007:1","PROD005,PROD007",2,2026-05-09,76160,5
O177836068,USR061,PRUEBA001:5,PRUEBA001,5,2026-05-09,4760000,5
ORD0000001,USR033,PROD001:2,PROD001,2,2026-05-01,95200,5
ORD0000002,USR023,"PROD001:2,PROD007:2,PROD005:3","PROD001,PROD007,PROD005",7,2026-03-16,276080,3
ORD0000003,USR032,PROD004:3,PROD004,3,2026-02-25,79968,2
ORD0000004,USR024,PROD006:2,PROD006,2,2026-02-02,85680,2
ORD0000005,USR012,"PROD003:1,PROD004:3","PROD003,PROD004",4,2026-03-08,113288,3
ORD0000006,USR033,"PROD006:3,PROD001:2,PROD003:3","PROD006,PROD001,PROD003",8,2026-03-21,323680,3
ORD0000007,USR038,"PROD006:1,PROD003:2,PROD005:3,PROD002:2","PROD006,PROD003,PROD005,PROD002",8,2026-02-11,237048,2
ORD0000008,USR055,"PROD005:2,PROD007:2","PROD005,PROD007",4,2026-04-06,152320,4
ORD0000009,USR047,PROD003:2,PROD003,2,2026-04-17,66640,4
ORD0000010,USR025,"PROD004:3,PROD007:1,PROD006:3","PROD004,PROD007,PROD006",7,2026-02-25,256088,2
ORD0000011,USR042,"PROD006:2,PROD001:3","PROD006,PROD001",5,2026-04-12,228480,4
ORD0000012,USR054,"PROD001:1,PROD002:1,PROD003:1","PROD001,PROD002,PROD003",3,2026-03-23,101864,3
ORD0000013,USR013,"PROD004:1,PROD005:2","PROD004,PROD005",3,2026-01-06,83776,1
ORD0000014,USR038,"PROD006:2,PROD007:2","PROD006,PROD007",4,2026-04-24,180880,4
ORD0000015,USR037,"PROD006:1,PROD007:1","PROD006,PROD007",2,2026-02-01,90440,2
ORD0000016,USR061,"PROD002:3,PROD006:2","PROD002,PROD006",5,2026-02-24,148512,2
ORD0000017,USR015,"PROD007:2,PROD001:1","PROD007,PROD001",3,2026-03-13,142800,3
ORD0000018,USR041,"PROD007:3,PROD004:3,PROD005:2","PROD007,PROD004,PROD005",8,2026-03-27,279888,3
