id,nombre,talla,color,precio
6873,Camiseta_cuello_v,XXL,Verde,92417
6839,Camiseta_cuello_v,XS,Blanco,127627
5590,Buzo,XL,Negro,47591
8197,Camiseta_cuello_redondo,XXXL,Blanco,83894
355,Camiseta_cuello_redondo,S,Rojo,121386
4335,Camiseta_cuello_redondo,M,Azul,93128
5039,Camiseta_cuello_redondo,XXXL,Rojo,101964
2880,Buzo,XL,Rojo,137756
2118,Camiseta_cuello_redondo,XXXL,Negro,91348
1998,Chompa,XXXL,Azul,76011
8759,Buzo,XS,Blanco,75957
9258,Buzo,XXL,Negro,123476
1088,Camiseta_cuello_redondo,L,Negro,133983
7930,Camiseta_cuello_redondo,XXXL,Amarillo,88353
5264,Camiseta_cuello_redondo,XL,Blanco,126268
616,Buzo,S,Azul,90566
2205,Buzo,L,Verde,99158
5448,Chompa,XS,Verde,105534
5004,Chompa,S,Amarillo,89593
9432,Buzo,S,Verde,56864
